Id,SalePrice
1461,121450.12
1462,154223.33
1463,183008.1
1464,188307.27
1465,169895.57
1466,174728.56
1467,173106.93
1468,159365.9
1469,189602.61
1470,116666.38
1471,196019.34
1472,101418.16
1473,103227.72
1474,144636.33
1475,113152.48
1476,389339.45
1477,243944.13
1478,309477.09
1479,301739.75
1480,474977.0
1481,302555.51
1482,201248.64
1483,167923.1
1484,177719.14
1485,174122.19
1486,200102.36
1487,281924.26
1488,221293.7
1489,195533.21
1490,223274.22
1491,197758.8
1492,99851.66
1493,200191.12
1494,293852.26
1495,269187.56
1496,245466.54
1497,180608.32
1498,174288.12
1499,168985.82
1500,153558.18
1501,171163.96
1502,149115.8
1503,302016.72
1504,223997.72
1505,228648.49
1506,189606.51
1507,237811.14
1508,196169.42
1509,155036.23
1510,152796.64
1511,151143.2
1512,158849.19
1513,137704.87
1514,137875.05
1515,216280.06
1516,136731.87
1517,151736.3
1518,129165.98
1519,211470.56
1520,145146.77
1521,145328.93
1522,157754.61
1523,108098.15
1524,119877.39
1525,117266.61
1526,116050.63
1527,109112.2
1528,122396.17
1529,156381.25
1530,171527.86
1531,132616.76
1532,91276.42
1533,141024.53
1534,109466.44
1535,147300.17
1536,104429.74
1537,77624.79
1538,144663.25
1539,196971.35
1540,113268.65
1541,146467.62
1542,134903.5
1543,202819.49
1544,76678.73
1545,107350.96
1546,127793.97
1547,147335.52
1548,129712.59
1549,112142.87
1550,143257.22
1551,104965.76
1552,161870.8
1553,137847.67
1554,101790.55
1555,178696.58
1556,92659.61
1557,91048.58
1558,107928.53
1559,88795.71
1560,142266.07
1561,121965.98
1562,132632.51
1563,122875.33
1564,180695.69
1565,154853.85
1566,222314.32
1567,84284.96
1568,211619.23
1569,135243.58
1570,151143.26
1571,99159.4
1572,141743.16
1573,231672.08
1574,139798.96
1575,224227.46
1576,204675.37
1577,190002.88
1578,147847.94
1579,135771.34
1580,184303.58
1581,160377.69
1582,125230.14
1583,299395.94
1584,238436.14
1585,141103.52
1586,79870.86
1587,105188.69
1588,138830.6
1589,95525.87
1590,123730.67
1591,89726.49
1592,109501.28
1593,130233.04
1594,142350.69
1595,123676.45
1596,245463.89
1597,151180.35
1598,190339.48
1599,166281.67
1600,172289.65
1601,80679.61
1602,126154.07
1603,90819.65
1604,235328.89
1605,225774.78
1606,155165.2
1607,162189.22
1608,202501.78
1609,181553.45
1610,150559.65
1611,150259.0
1612,197322.59
1613,157303.7
1614,117794.49
1615,91362.72
1616,82581.11
1617,87709.54
1618,114694.04
1619,140641.82
1620,180194.11
1621,151095.3
