Id,SalePrice
1461,125664.66
1462,148439.96
1463,179686.27
1464,182832.47
1465,189889.87
1466,183304.47
1467,170784.75
1468,175184.24
1469,178399.73
1470,124452.37
1471,204897.44
1472,98101.75
1473,100799.44
1474,152076.52
1475,122427.7
1476,361111.78
1477,246152.63
1478,304408.57
1479,292126.22
1480,454021.82
1481,303002.81
1482,203522.73
1483,182670.61
1484,173299.74
1485,177415.62
1486,199158.39
1487,300014.78
1488,240280.98
1489,209673.39
1490,216023.41
1491,194045.93
1492,95552.35
1493,175111.75
1494,294303.34
1495,284962.64
1496,234169.49
1497,184684.22
1498,155570.91
1499,154700.52
1500,159855.49
1501,169404.73
1502,156883.18
1503,278089.64
1504,231350.57
1505,214336.16
1506,171540.04
1507,231443.84
1508,189338.28
1509,156516.81
1510,153422.36
1511,148283.64
1512,166484.65
1513,141812.7
1514,148323.23
1515,175551.19
1516,153578.94
1517,148504.63
1518,134471.55
1519,227677.37
1520,140070.28
1521,142027.85
1522,160696.15
1523,111461.3
1524,121025.78
1525,127839.12
1526,125831.17
1527,104621.41
1528,126899.66
1529,143200.49
1530,165074.52
1531,128491.77
1532,103941.06
1533,131761.92
1534,117181.68
1535,149070.93
1536,118957.56
1537,89164.33
1538,147070.21
1539,200266.6
1540,123037.37
1541,144305.67
1542,143754.82
1543,179627.38
1544,85898.72
1545,99922.59
1546,123588.44
1547,135534.25
1548,129027.89
1549,114359.29
1550,144277.67
1551,118805.51
1552,138157.72
1553,134074.84
1554,109592.59
1555,169904.29
1556,100994.46
1557,107758.12
1558,90157.15
1559,108791.19
1560,142753.99
1561,140220.7
1562,125110.96
1563,124191.7
1564,159611.59
1565,151369.27
1566,215508.82
1567,84216.59
1568,215149.96
1569,154038.02
1570,134633.08
1571,130113.73
1572,144953.29
1573,238117.32
1574,131766.13
1575,216564.4
1576,230786.12
1577,197653.32
1578,135414.78
1579,143110.15
1580,188913.12
1581,138960.61
1582,124419.87
1583,314807.48
1584,239540.9
1585,140834.97
1586,78705.67
1587,102997.18
1588,144971.78
1589,99304.53
1590,129227.97
1591,102659.94
1592,123801.46
1593,115658.52
1594,124979.55
1595,127504.68
1596,212050.55
1597,171170.54
1598,187432.38
1599,175244.74
1600,181842.6
1601,82529.21
1602,115652.95
1603,94111.14
1604,277335.65
1605,247629.69
1606,163957.44
1607,164991.18
1608,217970.15
1609,200066.09
1610,163238.39
1611,145829.95
1612,183729.37
1613,167537.32
1614,125258.54
1615,87166.65
1616,84130.81
1617,89193.89
1618,121976.55
1619,135301.41
1620,181458.07
1621,139685.97
1622,147797.28
1623,263507.08
1624,219961.88
1625,123726.41
1626,170881.93
1627,183629.99
1628,262023.72
1629,177873.41
1630,323112.54
1631,203755.81
1632,243592.8
1633,173201.68
1634,182462.98
1635,180047.56
1636,162560.22
1637,173375.75
1638,199567.29
1639,178907.96
1640,239547.75
1641,175808.8
1642,225741.61
1643,226909.48
1644,224821.25
1645,180092.15
1646,156149.32
1647,160243.21
1648,139689.55
1649,137584.7
1650,118420.38
1651,118699.71
1652,100175.1
1653,98017.93
1654,155812.23
1655,149705.79
1656,149349.26
1657,153418.1
1658,156320.38
1659,128238.11
1660,151054.48
1661,441356.43
1662,343385.39
1663,360171.87
1664,417123.22
1665,309518.67
1666,344720.8
1667,342017.45
1668,327226.93
1669,289600.24
1670,342624.47
1671,264982.96
1672,437620.38
1673,297057.65
1674,250624.06
1675,194575.74
1676,198251.88
1677,213478.27
1678,435077.29
1679,379365.07
1680,320857.24
1681,252433.16
1682,312527.86
1683,183411.35
1684,175529.62
1685,175188.04
1686,167819.18
1687,171452.38
1688,191657.56
1689,190760.93
1690,183581.27
1691,177333.05
1692,250303.17
1693,173273.56
1694,181087.78
1695,171691.04
1696,264617.06
1697,169644.43
1698,331404.67
1699,314368.65
1700,247185.46
1701,259035.56
1702,255813.63
